file_path,date,temp_maximum_orig,temp_minimum_orig,temp_range_orig,temp_set_max_orig,precip_time_of_beginning_orig,precip_time_of_ending_orig,precip_amount_orig,precip_snowfall_in_inches_orig,precip_snow_depth_tobs_orig,wind_dir_tobs,weather_state_tobs,wind_dir_day,weather_state_day,temp_maximum,temp_minimum,temp_range,temp_set_max,precip_amount,precip_snowfall_in_inches,precip_snow_depth_tobs,observer,precip_time_of_beginning,precip_time_of_ending
data/raw/Weather Record/1893/April 1893.ods,1893-04-01,68,50,18,NA,NA,NA,NA,NA,NA,NA,Clear,NA,Clear,68,50,18,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-02,81,41,40,NA,NA,NA,NA,NA,NA,NA,Partly Cloudy,NA,Partly Cloudy,81,41,40,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-03,93,63,30,NA,NA,NA,NA,NA,NA,NA,Clear,NA,Clear,93,63,30,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-04,96,53,43,NA,NA,NA,NA,NA,NA,NA,Clear,NA,Clear,96,53,43,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-05,97,59,38,NA,NA,NA,NA,NA,NA,SW,Clear,SW,Clear,97,59,38,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-06,100,66,34,NA,NA,NA,NA,NA,NA,S,Clear,S,Clear,100,66,34,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-07,93,70,23,NA,NA,NA,NA,NA,NA,S,Clear,S,Clear,93,70,23,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-08,67,55,12,NA,NA,NA,NA,NA,NA,NE,Partly Cloudy,NE,Partly Cloudy,67,55,12,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-09,55,47,8,NA,8 AM,5 PM,1.62,NA,NA,NE & N?,Cloudy,NE & N?,Cloudy,55,47,8,NA,1.62,NA,NA,Rex B. Hendrix,"NA",5 PM
data/raw/Weather Record/1893/April 1893.ods,1893-04-10,55,46,9,NA,NA,NA,NA,NA,NA,NA,Cloudy,NA,Cloudy,55,46,9,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-11,87,55,32,NA,NA,NA,NA,NA,NA,S – SW – N,Partly Cloudy,S – SW – N,Partly Cloudy,87,55,32,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-12,75,43,32,NA,NA,NA,NA,NA,NA,NA,Clear,NA,Clear,75,43,32,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-13,68,43,25,NA,NA,NA,NA,NA,NA,NA,Partly Cloudy,NA,Partly Cloudy,68,43,25,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-14,59,36,23,NA,NA,NA,NA,NA,NA,NA,Clear,NA,Clear,59,36,23,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-15,78,32,46,NA,NA,NA,NA,NA,NA,NA,Clear,NA,Clear,78,32,46,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-16,75,47,28,NA,NA,NA,NA,NA,NA,N,Clear,N,Clear,75,47,28,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-17,89,48,41,NA,NA,NA,NA,NA,NA,S,Clear,S,Clear,89,48,41,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-18,80,54,26,NA,NA,NA,NA,NA,NA,N,Clear,N,Clear,80,54,26,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-19,68,42,26,NA,8 AM,NA,0.49,NA,NA,N,Cloudy,N,Cloudy,68,42,26,NA,0.49,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-20,60,33,27,NA,NA,NA,NA,NA,NA,NA,Partly Cloudy,NA,Partly Cloudy,60,33,27,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
data/raw/Weather Record/1893/April 1893.ods,1893-04-21,61,33,28,NA,NA,NA,NA,NA,NA,NA,Clear,NA,Clear,61,33,28,NA,NA,NA,NA,Rex B. Hendrix,"NA",NA
